,q,omega,sigmatot,sigmasfr,T
h,0.0,0.0,-1.0,0.0,1.0
l,0.0,0.0,-0.373,-0.26642857142857146,0.206
u,0.0,0.0,-0.163,-0.02200000000000002,0.275
tau,0.0,0.0,0.118,-0.2014285714285713,0.382
biso,0.0,0.0,0.337,0.3351428571428572,-0.225
bani,0.5,0.5,0.395,0.23442857142857146,-0.034
Bbar,0.5,1.0,0.127,0.09071428571428572,-0.294
tanpB,-1.0,-1.0,1.791,-0.24442857142857144,-1.069
