,q,omega,sigmatot,sigmasfr,T
h,0.0,0.0,-1.0,0.0,1.0
l,0.0,0.0,-1.0,0.0,1.0
u,0.0,0.0,0.0,0.0,0.5
tau,0.0,0.0,-1.0,0.0,0.5
biso,0.0,0.0,0.5,0.35714285714285715,0.0
bani,0.5,0.5,0.0,0.35714285714285715,0.25
Bbar,0.5,1.0,-0.5,0.35714285714285715,0.5
tanpB,-1.0,-1.0,1.0,0.0,-0.5
