,q,omega,sigmatot,sigmasfr,T
h,0.0,0.0,-1.0,0.0,1.0
l,0.0,0.0,-1.0,0.0,1.0
u,0.0,0.0,-1.0,0.333,1.333
tau,0.0,0.0,0.0,-0.333,-0.333
biso,0.0,0.0,-0.5,0.6901428571428572,0.833
bani,0.5,0.5,-0.5,0.5241428571428571,0.667
Bbar,0.5,1.0,-0.5,0.35714285714285715,0.5
tanpB,-1.0,-1.0,0.0,0.333,0.333
